instrument,timeframe,bar_open_ts_utc,open,high,low,close,volume,source,source_file,imported_utc
USDJPY,M5,2026-05-19 12:40:00+00:00,159.11317,159.16612,158.82527,158.93618,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 12:45:00+00:00,158.92764,159.02373,158.91649,158.93435,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 12:50:00+00:00,158.97805,159.04692,158.97805,159.03714,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 12:55:00+00:00,159.03844,159.05002,159.00416,159.0461,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:00:00+00:00,159.03195,159.08699,159.03195,159.08341,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:05:00+00:00,159.0747,159.15852,159.06681,159.14401,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:10:00+00:00,159.12461,159.16708,159.12461,159.15354,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:15:00+00:00,159.15131,159.18621,159.12772,159.18443,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:20:00+00:00,159.17688,159.19421,159.17516,159.18789,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:25:00+00:00,159.18392,159.18722,159.13895,159.14606,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:30:00+00:00,159.16428,159.1892,159.11744,159.1268,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:35:00+00:00,159.12754,159.1524,159.1172,159.13446,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:40:00+00:00,159.1296,159.13304,159.09988,159.10228,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:45:00+00:00,159.10551,159.10551,159.07486,159.10367,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:50:00+00:00,159.10145,159.1405,159.02065,159.06102,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 13:55:00+00:00,159.06101,159.07285,159.04007,159.04855,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:00:00+00:00,159.04555,159.09983,159.02183,159.09704,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:05:00+00:00,159.09079,159.12905,159.07325,159.12579,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:10:00+00:00,159.12117,159.154,159.11505,159.1488,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:15:00+00:00,159.13777,159.16735,159.13618,159.13888,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:20:00+00:00,159.13869,159.19801,159.13869,159.17013,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:25:00+00:00,159.17482,159.24221,159.17482,159.24076,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:30:00+00:00,159.23254,159.23254,159.17555,159.17924,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
