"2026-04-08 10:10	158.469	158.472	158.435	158.440	394"
"2026-04-08 10:15	158.437	158.489	158.434	158.473	411"
"2026-04-08 10:20	158.474	158.488	158.445	158.454	252"
"2026-04-08 10:25	158.458	158.459	158.434	158.441	371"
"2026-04-08 10:30	158.444	158.444	158.413	158.429	267"
"2026-04-08 10:35	158.428	158.445	158.412	158.422	297"
"2026-04-08 10:40	158.422	158.446	158.400	158.429	428"
"2026-04-08 10:45	158.430	158.446	158.411	158.443	352"
"2026-04-08 10:50	158.443	158.448	158.418	158.446	392"
"2026-04-08 10:55	158.445	158.446	158.383	158.432	409"
"2026-04-08 11:00	158.434	158.485	158.430	158.446	536"
"2026-04-08 11:05	158.446	158.470	158.427	158.434	308"
"2026-04-08 11:10	158.433	158.434	158.401	158.410	311"
"2026-04-08 11:15	158.409	158.435	158.383	158.383	332"
"2026-04-08 11:20	158.384	158.411	158.312	158.321	744"
"2026-04-08 11:25	158.321	158.321	158.236	158.259	955"
"2026-04-08 11:30	158.260	158.282	158.245	158.247	825"
"2026-04-08 11:35	158.249	158.372	158.246	158.358	753"
"2026-04-08 11:40	158.359	158.369	158.301	158.304	591"
"2026-04-08 11:45	158.302	158.304	158.249	158.255	436"
"2026-04-08 11:50	158.255	158.260	158.218	158.260	824"
"2026-04-08 11:55	158.261	158.284	158.234	158.253	804"
"2026-04-08 12:00	158.252	158.253	158.200	158.203	727"
"2026-04-08 12:05	158.201	158.212	158.112	158.144	763"
"2026-04-08 12:10	158.144	158.151	158.059	158.076	949"
"2026-04-08 12:15	158.074	158.187	158.074	158.182	866"
"2026-04-08 12:20	158.179	158.284	158.159	158.265	2716"
"2026-04-08 12:25	158.264	158.324	158.208	158.209	1523"
"2026-04-08 12:30	158.208	158.208	158.087	158.091	887"
"2026-04-08 12:35	158.091	158.114	158.061	158.077	779"
"2026-04-08 12:40	158.076	158.087	158.006	158.008	941"
"2026-04-08 12:45	158.008	158.060	157.972	158.029	911"
"2026-04-08 12:50	158.029	158.089	158.001	158.004	628"
"2026-04-08 12:55	158.003	158.018	157.947	158.013	975"
"2026-04-08 13:00	158.013	158.042	157.884	157.914	1401"
"2026-04-08 13:05	157.914	157.938	157.886	157.917	1118"
"2026-04-08 13:10	157.916	158.066	157.916	158.011	1218"
"2026-04-08 13:15	158.010	158.037	157.969	157.999	918"
"2026-04-08 13:20	158.007	158.093	157.967	157.976	978"
"2026-04-08 13:25	157.975	158.100	157.961	158.077	951"
"2026-04-08 13:30	158.078	158.192	158.065	158.189	1209"
"2026-04-08 13:35	158.188	158.313	158.186	158.290	1488"
"2026-04-08 13:40	158.290	158.312	158.231	158.239	1628"
"2026-04-08 13:45	158.242	158.249	158.180	158.226	1029"
"2026-04-08 13:50	158.226	158.310	158.206	158.292	1351"
"2026-04-08 13:55	158.293	158.325	158.255	158.273	1076"
"2026-04-08 14:00	158.274	158.297	158.233	158.273	1101"
"2026-04-08 14:05	158.273	158.328	158.232	158.247	1184"
"2026-04-08 14:10	158.247	158.247	158.182	158.235	1063"
"2026-04-08 14:15	158.232	158.273	158.212	158.272	870"
"2026-04-08 14:20	158.273	158.278	158.222	158.230	936"
"2026-04-08 14:25	158.227	158.306	158.208	158.302	834"
"2026-04-08 14:30	158.301	158.391	158.298	158.322	1839"
"2026-04-08 14:35	158.323	158.347	158.284	158.299	849"
"2026-04-08 14:40	158.301	158.306	158.268	158.285	815"
"2026-04-08 14:45	158.283	158.322	158.220	158.245	905"
"2026-04-08 14:50	158.244	158.323	158.229	158.287	857"
"2026-04-08 14:55	158.283	158.419	158.261	158.279	1989"
"2026-04-08 15:00	158.281	158.306	158.254	158.275	1536"
"2026-04-08 15:05	158.273	158.419	158.262	158.419	1152"
"2026-04-08 15:10	158.417	158.464	158.416	158.447	1070"
"2026-04-08 15:15	158.450	158.465	158.381	158.381	928"
"2026-04-08 15:20	158.379	158.389	158.353	158.359	484"
"2026-04-08 15:25	158.359	158.413	158.359	158.397	740"
"2026-04-08 15:30	158.401	158.409	158.342	158.345	814"
"2026-04-08 15:35	158.346	158.371	158.277	158.293	809"
"2026-04-08 15:40	158.295	158.338	158.282	158.333	783"
"2026-04-08 15:45	158.332	158.367	158.329	158.337	490"
"2026-04-08 15:50	158.335	158.343	158.307	158.330	457"
"2026-04-08 15:55	158.330	158.391	158.323	158.385	601"
"2026-04-08 16:00	158.390	158.429	158.354	158.405	809"
"2026-04-08 16:05	158.406	158.425	158.379	158.380	814"
"2026-04-08 16:10	158.379	158.404	158.354	158.396	560"
