bar_open_ts_utc,open,high,low,close,bars_in_bucket,bridge_method,source_tf,source_path,source_last_m5_ts_utc,source_staleness_hours,live_recency_status,bridge_created_utc
2026-05-21T04:00:00Z,158.97535,159.00208,158.95044,159.00081,12,LIVE_RECENT_M5_RESAMPLED_TO_H1,M5,C:/Users/shahr/OneDrive/Documents/TradingOS/GitHub/TradingOS2/TradingOS2/data/live_m5/incremental/USDJPY_M5_incremental_latest.csv,2026-05-21T08:45:00Z,2.574,LIVE_RECENT_OK,2026-05-21T11:19:27Z
2026-05-21T05:00:00Z,158.9989,159.05348,158.97792,159.00822,12,LIVE_RECENT_M5_RESAMPLED_TO_H1,M5,C:/Users/shahr/OneDrive/Documents/TradingOS/GitHub/TradingOS2/TradingOS2/data/live_m5/incremental/USDJPY_M5_incremental_latest.csv,2026-05-21T08:45:00Z,2.574,LIVE_RECENT_OK,2026-05-21T11:19:27Z
2026-05-21T06:00:00Z,159.00871,159.07712,159.00116,159.06024,12,LIVE_RECENT_M5_RESAMPLED_TO_H1,M5,C:/Users/shahr/OneDrive/Documents/TradingOS/GitHub/TradingOS2/TradingOS2/data/live_m5/incremental/USDJPY_M5_incremental_latest.csv,2026-05-21T08:45:00Z,2.574,LIVE_RECENT_OK,2026-05-21T11:19:27Z
2026-05-21T07:00:00Z,159.06205,159.0894,159.00789,159.03647,12,LIVE_RECENT_M5_RESAMPLED_TO_H1,M5,C:/Users/shahr/OneDrive/Documents/TradingOS/GitHub/TradingOS2/TradingOS2/data/live_m5/incremental/USDJPY_M5_incremental_latest.csv,2026-05-21T08:45:00Z,2.574,LIVE_RECENT_OK,2026-05-21T11:19:27Z
2026-05-21T08:00:00Z,159.04513,159.04513,158.91711,158.97724,10,LIVE_RECENT_M5_RESAMPLED_TO_H1,M5,C:/Users/shahr/OneDrive/Documents/TradingOS/GitHub/TradingOS2/TradingOS2/data/live_m5/incremental/USDJPY_M5_incremental_latest.csv,2026-05-21T08:45:00Z,2.574,LIVE_RECENT_OK,2026-05-21T11:19:27Z
